Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
2768 - V4 NUC,2768 - V4 Nuc Posto  Bandeira Branca Auto Posto Fradique Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,0.9369444444444444
2769 - V4 NUC,2769 - V4 Nuc Posto  Ipiranga Auto Posto Nemo Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2770 - V4 NUC,2770 - V4 Nuc Posto  Br Auto Posto Positano Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2771,2771 Rodoporto Oasis Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2772 - V4 NUC,2772 - V4 Nuc Posto  Ipiranga R Tres Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2773 - V4 NUC,2773 - V4 Nuc Posto  Ipiranga Centro Automotivo Paraiso Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2774,2774 P V Bandeirantes Comercio De Combustiveis Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
2775 - V4 NUC,2775 - V4 Nuc Posto  Ipiranga Auto Posto Joia Da Goias Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2777 - V4 NUC,2777 - V4 Nuc Posto  Ipiranga Centro Automotivo Pilar Do Tiete Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2778 - V4 NUC,2778 - V4 Nuc Posto  Ipiranga Janiopolis Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2780 - V4 NUC,2780 - V4 Nuc Posto  Bandeira Branca Bertolai Camargo & Camargo Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2781 - V4 NUC,2781 - V4 Nuc Posto  Br Dimocostas E Abreu Comercio De Derivados,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2783 - V4 NUC,2783 - V4 Nuc Posto   Auto Posto Capixaba Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,,1
2787 - V4 NUC,2787 - V4 Nuc Posto  Ipiranga Abastecedora De Combustiveis Sertorio Lt,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2790 - V4 NUC,2790 - V4 Nuc Posto  Br Auto Posto Laercio De Mairipora Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2792 - V4 NUC,2792 - V4 Nuc Posto  Ipiranga Auto Posto Combusserv Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2795 - V4 NUC,2795 - V4 Nuc Posto  Ipiranga Abastecedora Farroupilha Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2797,2797 Auto Posto Esquina Da Capela Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2798 - V4 NUC,2798 - V4 Nuc Posto  Shell Centro Automotivo Vitoria Dos Amigos Ltd,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
2799 - V4 NUC,2799 - V4 Nuc Posto  Bandeira Branca Auto Posto Cb Par Campinas Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2800 - V4 NUC,2800 - V4 Nuc Posto  Bandeira Branca Auto Posto Salles De Oliveira Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
28002,28002 Auto Posto Alameda Santos Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
28003,28003 Auto Posto Mirante De Ourinhos Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
